epoch,kappa=1acc,kappa=50acc,kappa=150acc,kappa=175acc,kappa=200acc,kappa=500acc,kappa=1000acc
0,0.2051,0.4074,0.2879,0.2656,0.2644,0.1905,0.0974
1,0.2077,0.491,0.4335,0.5037,0.5053,0.0977,0.101
2,0.208,0.4901,0.5436,0.6143,0.6033,0.3095,0.2058
3,0.2086,0.6479,0.6197,0.6808,0.642,0.4735,0.2185
4,0.2087,0.6648,0.6931,0.6965,0.679,0.5228,0.2217
5,0.2089,0.6733,0.7162,0.7271,0.7655,0.5633,0.2428
6,0.2088,0.7008,0.7339,0.7598,0.7635,0.5686,0.2421
7,0.2091,0.7256,0.766,0.751,0.7595,0.6312,0.2149
8,0.209,0.743,0.7734,0.7514,0.7661,0.6492,0.2883
9,0.2091,0.756,0.7924,0.758,0.7857,0.7106,0.3169
10,0.209,0.7786,0.7881,0.7793,0.7891,0.712,0.3595
11,0.209,0.782,0.8109,0.7756,0.7899,0.6819,0.3113
12,0.209,0.7703,0.8063,0.7923,0.7973,0.7192,0.3786
13,0.209,0.7882,0.8241,0.7852,0.8036,0.7384,0.388
14,0.209,0.8004,0.8389,0.8016,0.8243,0.7141,0.3897
15,0.209,0.8026,0.845,0.7961,0.8255,0.7361,0.3915
16,0.209,0.8094,0.8422,0.7948,0.8281,0.7629,0.4016
17,0.2091,0.8075,0.8404,0.806,0.8433,0.7758,0.3967
18,0.2091,0.8133,0.8639,0.8214,0.8422,0.7749,0.4243
19,0.2091,0.8203,0.8607,0.8207,0.8558,0.7778,0.411
20,0.2091,0.8138,0.8686,0.8253,0.8548,0.7883,0.4277
21,0.2091,0.8228,0.8658,0.8277,0.8489,0.7757,0.4247
22,0.2091,0.8164,0.8684,0.8331,0.8533,0.784,0.4238
23,0.2091,0.8185,0.8588,0.84,0.8499,0.7643,0.4251
24,0.2091,0.8183,0.8754,0.852,0.8577,0.7628,0.4288
25,0.2091,0.8233,0.8792,0.8507,0.8555,0.7914,0.4284
26,0.2092,0.825,0.8771,0.8612,0.8562,0.7957,0.4275
27,0.2092,0.8274,0.8822,0.8623,0.8636,0.8095,0.4275
28,0.2092,0.8265,0.8746,0.8633,0.8721,0.8079,0.4294
29,0.2092,0.8324,0.881,0.8674,0.8691,0.8066,0.4324
30,0.2092,0.8314,0.8812,0.8755,0.8709,0.8183,0.4421
31,0.2092,0.8325,0.8874,0.8739,0.8738,0.8313,0.4286
32,0.2092,0.8298,0.8726,0.8681,0.8745,0.8249,0.4436
33,0.2092,0.83,0.8823,0.878,0.8792,0.8452,0.4402
34,0.2092,0.8248,0.8859,0.8782,0.8851,0.8251,0.4281
35,0.2092,0.8364,0.8896,0.8775,0.8828,0.8325,0.4348
36,0.2092,0.8335,0.8883,0.8762,0.881,0.847,0.448
37,0.2092,0.8306,0.8929,0.8796,0.8842,0.8462,0.4482
38,0.2092,0.8229,0.8928,0.8814,0.8892,0.8404,0.4489
39,0.2092,0.8338,0.896,0.8818,0.8873,0.8429,0.4475
40,0.2092,0.8253,0.8954,0.8871,0.8879,0.8385,0.4422
41,0.2092,0.834,0.8951,0.8841,0.8883,0.846,0.4441
42,0.2092,0.8358,0.8992,0.8872,0.8912,0.8402,0.4322
43,0.2092,0.8316,0.8922,0.8865,0.8934,0.849,0.4441
44,0.2092,0.8332,0.8966,0.8874,0.8955,0.8406,0.4389
45,0.2092,0.8334,0.897,0.8903,0.8946,0.8469,0.4468
46,0.2092,0.8383,0.8995,0.8914,0.8923,0.8383,0.4478
47,0.2092,0.8318,0.9011,0.8929,0.896,0.8518,0.4487
48,0.2092,0.8284,0.8986,0.892,0.8936,0.8474,0.4511
49,0.2092,0.8313,0.9017,0.8937,0.894,0.8585,0.4458
50,0.2092,0.8295,0.9048,0.8944,0.8923,0.8497,0.4339
51,0.2092,0.8377,0.9045,0.8959,0.8921,0.8586,0.4439
52,0.2092,0.8404,0.8997,0.8943,0.8917,0.8658,0.4492
53,0.2092,0.8368,0.9,0.893,0.8957,0.8686,0.4474
54,0.2092,0.8323,0.9019,0.8987,0.898,0.8689,0.4465
55,0.2092,0.8364,0.9045,0.9003,0.8971,0.8675,0.4519
56,0.2092,0.8417,0.9035,0.8997,0.9015,0.8749,0.4491
57,0.2092,0.8417,0.906,0.8988,0.9015,0.8745,0.4516
58,0.2092,0.8417,0.9051,0.9018,0.9044,0.8745,0.4538
59,0.2092,0.842,0.9037,0.9043,0.9027,0.8684,0.442
60,0.2092,0.8407,0.9021,0.9053,0.9024,0.8743,0.4487
61,0.2092,0.8405,0.9059,0.9017,0.9015,0.8661,0.4538
62,0.2092,0.8375,0.9067,0.9004,0.9026,0.8765,0.453
63,0.2092,0.8345,0.9083,0.9023,0.9063,0.8696,0.45
64,0.2092,0.8403,0.9094,0.9017,0.9065,0.8721,0.4527
65,0.2092,0.8464,0.9077,0.9046,0.9058,0.8764,0.453
66,0.2092,0.8416,0.9116,0.9062,0.9102,0.8807,0.4479
