,lr=0,lr=1,lr=2,lr=3,lr=4,lr=5,lr=6,lr=7,lr=8,lr=9
0,0.182,0.558,0.705,0.848,0.886,0.864,0.752,0.269,0.099,0.094
1,0.319,0.711,0.772,0.88,0.899,0.886,0.726,0.102,0.154,0.094
2,0.411,0.752,0.812,0.89,0.914,0.864,0.799,0.067,0.092,0.094
3,0.498,0.771,0.827,0.898,0.923,0.86,0.739,0.039,0.16,0.094
4,0.557,0.787,0.847,0.915,0.92,0.873,0.729,0.1,0.144,0.094
5,0.622,0.805,0.853,0.922,0.927,0.865,0.728,0.09,0.152,0.094
6,0.656,0.816,0.871,0.921,0.931,0.87,0.779,0.087,0.094,0.094
7,0.673,0.828,0.878,0.922,0.937,0.869,0.789,0.087,0.094,0.094
8,0.688,0.844,0.877,0.922,0.94,0.876,0.711,0.087,0.094,0.094
9,0.709,0.849,0.877,0.925,0.938,0.866,0.729,0.087,0.096,0.094
10,0.72,0.853,0.877,0.932,0.946,0.868,0.815,0.116,0.127,0.094
11,0.722,0.856,0.885,0.933,0.941,0.825,0.749,0.116,0.14,0.094
12,0.732,0.86,0.885,0.935,0.945,0.871,0.739,0.116,0.14,0.094
13,0.746,0.868,0.887,0.936,0.945,0.877,0.784,0.116,0.176,0.094
14,0.752,0.87,0.888,0.933,0.945,0.885,0.784,0.116,0.176,0.094
15,0.753,0.871,0.894,0.942,0.946,0.878,0.726,0.116,0.175,0.094
16,0.755,0.875,0.897,0.941,0.952,0.882,0.752,0.116,0.175,0.094
17,0.762,0.875,0.898,0.939,0.953,0.884,0.775,0.116,0.175,0.094
18,0.76,0.875,0.899,0.94,0.962,0.86,0.716,0.116,0.175,0.094
19,0.767,0.876,0.9,0.942,0.958,0.879,0.705,0.116,0.176,0.094
20,0.774,0.876,0.902,0.94,0.957,0.885,0.686,0.116,0.184,0.094
21,0.781,0.876,0.906,0.948,0.963,0.863,0.725,0.116,0.208,0.094
22,0.784,0.878,0.906,0.947,0.967,0.887,0.703,0.116,0.194,0.094
23,0.785,0.878,0.906,0.95,0.96,0.868,0.691,0.116,0.186,0.094
24,0.791,0.878,0.905,0.954,0.966,0.879,0.681,0.116,0.182,0.094
25,0.797,0.88,0.905,0.951,0.961,0.904,0.696,0.116,0.181,0.094
26,0.805,0.883,0.905,0.959,0.96,0.873,0.739,0.116,0.177,0.094
27,0.808,0.88,0.907,0.954,0.964,0.879,0.766,0.116,0.177,0.094
28,0.81,0.881,0.908,0.956,0.968,0.86,0.782,0.116,0.181,0.094
29,0.808,0.883,0.909,0.961,0.96,0.871,0.662,0.116,0.178,0.094
30,0.81,0.882,0.908,0.957,0.965,0.869,0.707,0.116,0.096,0.094
31,0.811,0.882,0.908,0.958,0.963,0.874,0.712,0.116,0.095,0.094
32,0.815,0.887,0.909,0.964,0.963,0.868,0.748,0.116,0.095,0.094
33,0.818,0.889,0.91,0.948,0.968,0.868,0.736,0.116,0.096,0.094
34,0.819,0.891,0.911,0.959,0.966,0.842,0.766,0.116,0.096,0.094
35,0.82,0.892,0.913,0.96,0.968,0.888,0.669,0.116,0.096,0.094
36,0.824,0.893,0.918,0.959,0.965,0.871,0.727,0.116,0.096,0.094
37,0.828,0.894,0.918,0.956,0.97,0.888,0.593,0.116,0.106,0.094
38,0.831,0.892,0.92,0.96,0.968,0.884,0.655,0.116,0.106,0.094
39,0.835,0.892,0.92,0.957,0.967,0.891,0.652,0.116,0.107,0.094
40,0.835,0.894,0.918,0.964,0.971,0.872,0.738,0.116,0.11,0.094
41,0.836,0.898,0.917,0.96,0.972,0.852,0.687,0.116,0.11,0.094
42,0.837,0.9,0.919,0.96,0.976,0.889,0.735,0.116,0.113,0.094
43,0.838,0.902,0.921,0.963,0.971,0.856,0.727,0.116,0.104,0.094
44,0.841,0.903,0.919,0.959,0.968,0.851,0.589,0.116,0.099,0.094
45,0.843,0.904,0.919,0.963,0.969,0.869,0.665,0.116,0.094,0.094
46,0.845,0.904,0.919,0.96,0.969,0.885,0.66,0.116,0.094,0.094
47,0.848,0.906,0.921,0.963,0.966,0.88,0.617,0.116,0.094,0.094
48,0.849,0.908,0.921,0.958,0.974,0.884,0.739,0.116,0.094,0.094
49,0.849,0.908,0.923,0.967,0.976,0.875,0.72,0.116,0.094,0.094
50,0.849,0.909,0.924,0.966,0.979,0.869,0.644,0.116,0.094,0.094
51,0.846,0.908,0.925,0.964,0.969,0.875,0.662,0.116,0.094,0.094
52,0.848,0.909,0.924,0.969,0.971,0.883,0.654,0.116,0.094,0.094
53,0.847,0.909,0.923,0.966,0.97,0.874,0.691,0.116,0.094,0.094
54,0.849,0.91,0.925,0.963,0.974,0.827,0.714,0.116,0.094,0.094
55,0.853,0.91,0.924,0.967,0.978,0.872,0.768,0.116,0.094,0.094
56,0.853,0.91,0.924,0.97,0.971,0.872,0.72,0.116,0.094,0.094
57,0.853,0.91,0.926,0.965,0.973,0.866,0.714,0.116,0.094,0.094
58,0.853,0.91,0.924,0.971,0.972,0.895,0.677,0.116,0.094,0.094
59,0.853,0.91,0.925,0.963,0.969,0.849,0.658,0.116,0.094,0.094
